subj,task,ord,paint,price,cons,resp,zresp,rt,zrt,conf,zconf,belcons,zbelcons,cor,zcor,corb,respcons,zrespcons,respconsb
37,1,1,7,17800,0.520833333333333,2,0.957427107756338,0.02,-1.6367821739104,3,-0.776954655424218,5,-0.474341649025257,1,0.957427107756338,1,0.520833333333333,-0.0686279003297065,1
37,1,1,8,26700,0.775510204081633,2,0.957427107756338,1.668,-1.06763681018328,8,1.81289419598984,8,1.89736659610103,1,0.957427107756338,1,0.775510204081633,1.41223951481264,1
37,1,1,9,178000,0.591836734693878,2,0.957427107756338,1.912,-0.983370142252815,4,-0.258984885141406,5,-0.474341649025257,1,0.957427107756338,1,0.591836734693878,0.344234968332684,1
37,1,1,11,3000000,0.583333333333333,1,-0.957427107756338,4.739,-0.00705100192724225,4,-0.258984885141406,5,-0.474341649025257,0,-0.957427107756338,0,0.416666666666667,-0.674324923217645,0
37,1,1,12,2500000,0.847826086956522,1,-0.957427107756338,3.654,-0.381761390060686,7,1.29492442570703,5,-0.474341649025257,0,-0.957427107756338,0,0.152173913043478,-2.21226866828963,0
38,1,1,1,1,0.6875,1,-1.26131244777378,5.377,0.12137056258005,6,-0.272624878403135,5,-0.42174116783665,1,0.583874208121142,1,0.6875,0.791614027492407,1
38,1,1,2,1,0.604166666666667,1,-1.26131244777378,2.871,-0.947885087174396,6,-0.272624878403135,2,-1.58152937938744,1,0.583874208121142,1,0.395833333333333,-0.898465003270842,0
38,1,1,3,311,0.541666666666667,2,0.720749970156447,10.027,2.10542434205259,6,-0.272624878403135,7,0.351450973197208,0,-1.55699788832305,0,0.541666666666667,-0.0534254878892174,1
38,1,1,4,534,0.6875,2,0.720749970156447,5.81,0.306122237098675,9,1.36312439201568,7,0.351450973197208,0,-1.55699788832305,0,0.3125,-1.38134472634606,0
38,1,1,6,5340,0.617021276595745,1,-1.26131244777378,7.567,1.05579589097679,4,-1.36312439201568,3,-1.19493330887051,1,0.583874208121142,1,0.617021276595745,0.38322107021071,1
38,1,1,7,17800,0.520833333333333,2,0.720749970156447,5.248,0.0663290706333926,4,-1.36312439201568,6,-0.0351450973197208,1,0.583874208121142,1,0.520833333333333,-0.17414541865802,1
38,1,1,8,26700,0.775510204081633,2,0.720749970156447,3.774,-0.562594643547794,8,0.817874635209406,9,1.12464311423107,1,0.583874208121142,1,0.775510204081633,1.30159414318919,1
38,1,1,9,178000,0.591836734693878,1,-1.26131244777378,2.235,-1.21925244281838,7,0.272624878403135,4,-0.808337238353579,0,-1.55699788832305,0,0.408163265306122,-0.827018513632162,0
38,1,1,10,267000,0.630434782608696,2,0.720749970156447,3.81,-0.547234227190587,6,-0.272624878403135,5,-0.42174116783665,1,0.583874208121142,1,0.369565217391304,-1.05067708989238,0
38,1,1,11,3000000,0.583333333333333,2,0.720749970156447,6.515,0.60693039076064,7,0.272624878403135,9,1.12464311423107,1,0.583874208121142,1,0.583333333333333,0.18801437364839,1
38,1,1,12,2500000,0.847826086956522,2,0.720749970156447,2.784,-0.985006093370979,10,1.90837414882195,10,1.511239184748,1,0.583874208121142,1,0.847826086956522,1.72063262514798,1
39,1,1,1,1,0.6875,2,0.67700320038633,3.695,-0.556956029014575,8,0.468666792401936,6,0.396155905899886,0,-0.957427107756338,0,0.3125,-1.00557490861896,0
39,1,1,2,1,0.604166666666667,2,0.67700320038633,2.878,-0.8387538774152,6,-0.281200075441162,4,-0.735718110956931,0,-0.957427107756338,0,0.604166666666667,0.66201582772665,1
39,1,1,3,311,0.541666666666667,1,-1.35400640077266,3.795,-0.522464248304584,2,-1.78093381112736,5,-0.169781102528523,1,0.957427107756338,1,0.458333333333333,-0.171779540446156,0
39,1,1,4,534,0.6875,2,0.67700320038633,4.336,-0.335863714663534,6,-0.281200075441162,3,-1.30165511938534,0,-0.957427107756338,0,0.3125,-1.00557490861896,0
39,1,1,6,5340,0.617021276595745,2,0.67700320038633,4.823,-0.16788874260588,10,1.21853366024503,3,-1.30165511938534,0,-0.957427107756338,0,0.382978723404255,-0.602616052875874,0
39,1,1,7,17800,0.520833333333333,2,0.67700320038633,5.123,-0.0644134004759074,4,-1.03106694328426,4,-0.735718110956931,1,0.957427107756338,1,0.520833333333333,0.185561331627904,1
39,1,1,9,178000,0.591836734693878,2,0.67700320038633,3.102,-0.76149228862482,10,1.21853366024503,8,1.5280299227567,1,0.957427107756338,1,0.591836734693878,0.591520009426325,1
39,1,1,10,267000,0.630434782608696,1,-1.35400640077266,3.611,-0.585929124810967,9,0.843600226323485,7,0.962092914328295,0,-0.957427107756338,0,0.630434782608696,0.812202571062124,1
39,1,1,11,3000000,0.583333333333333,2,0.67700320038633,4.375,-0.322411920186638,9,0.843600226323485,6,0.396155905899886,1,0.957427107756338,1,0.583333333333333,0.542902203701963,1
39,1,1,12,2500000,0.847826086956522,2,0.67700320038633,5.406,0.0331983389333662,7,0.0937333584803872,7,0.962092914328295,1,0.957427107756338,1,0.847826086956522,2.05512734349364,1
40,1,1,1,1,0.6875,1,-0.720749970156447,4.269,-0.285838183040168,7,-0.199637352376172,8,0.924500327042049,1,1.04446593573419,1,0.6875,0.562402620320444,1
40,1,1,2,1,0.604166666666667,2,1.26131244777378,2.045,-0.994179482664832,9,0.998186761880863,9,1.47920052326728,0,-0.870388279778489,0,0.604166666666667,-0.0323014823657312,1
40,1,1,3,311,0.541666666666667,2,1.26131244777378,5.22,0.0170541622579678,8,0.399274704752345,7,0.36980013081682,0,-0.870388279778489,0,0.541666666666667,-0.478329559380362,1
40,1,1,4,534,0.6875,1,-0.720749970156447,8.351,1.01427386060546,5,-1.39746146663321,3,-1.8490006540841,1,1.04446593573419,1,0.6875,0.562402620320444,1
40,1,1,6,5340,0.617021276595745,1,-0.720749970156447,4.675,-0.156527676004371,8,0.399274704752345,7,0.36980013081682,1,1.04446593573419,1,0.617021276595745,0.0594347887933067,1
40,1,1,7,17800,0.520833333333333,1,-0.720749970156447,2.575,-0.82537512618953,5,-1.39746146663321,7,0.36980013081682,0,-0.870388279778489,0,0.479166666666667,-0.924357636394993,0
40,1,1,8,26700,0.775510204081633,2,1.26131244777378,10.235,1.61432557305729,9,0.998186761880863,6,-0.18490006540841,1,1.04446593573419,1,0.775510204081633,1.19048297366758,1
40,1,1,9,178000,0.591836734693878,1,-0.720749970156447,6.651,0.472825924741284,8,0.399274704752345,5,-0.739600261633639,0,-0.870388279778489,0,0.408163265306122,-1.43106980552046,0
40,1,1,11,3000000,0.583333333333333,1,-0.720749970156447,0.061,-1.62608107369691,7,-0.199637352376172,5,-0.739600261633639,0,-0.870388279778489,0,0.416666666666667,-1.37038571340962,0
41,1,1,1,1,0.6875,1,-1.13284303119776,5.743,2.33887663613357,9,1.26812124337118,8,0.206484040339026,1,0.809173593712687,1,0.6875,0.664781414068789,1
41,1,1,2,1,0.604166666666667,2,0.809173593712687,1.967,-0.694820568208457,8,0.877930091564665,9,0.825936161356105,0,-1.13284303119776,0,0.604166666666667,0.105569477619333,1
41,1,1,3,311,0.541666666666667,2,0.809173593712687,4.587,1.4101282335331,5,-0.292643363854888,6,-1.03242020169513,0,-1.13284303119776,0,0.541666666666667,-0.313839474717759,1
41,1,1,4,534,0.6875,1,-1.13284303119776,3.047,0.172868250830047,2,-1.46321681927444,5,-1.65187232271221,1,0.809173593712687,1,0.6875,0.664781414068789,1
41,1,1,5,2670,0.608695652173913,1,-1.13284303119776,1.711,-0.90049495494351,7,0.487738939758147,8,0.206484040339026,1,0.809173593712687,1,0.391304347826087,-1.32285231657221,0
41,1,1,6,5340,0.617021276595745,2,0.809173593712687,2.614,-0.175010692358538,5,-0.292643363854888,8,0.206484040339026,0,-1.13284303119776,0,0.382978723404255,-1.37872177923321,0
41,1,1,7,17800,0.520833333333333,2,0.809173593712687,3.143,0.249996145855692,9,1.26812124337118,10,1.44538828237318,1,0.809173593712687,1,0.520833333333333,-0.453642458830123,1
41,1,1,8,26700,0.775510204081633,2,0.809173593712687,2.783,-0.0392334604904761,3,-1.07302566746792,9,0.825936161356105,1,0.809173593712687,1,0.775510204081633,1.25537769389041,1
41,1,1,9,178000,0.591836734693878,1,-1.13284303119776,2.228,-0.485129103607485,4,-0.682834515661406,5,-1.65187232271221,0,-1.13284303119776,0,0.408163265306122,-1.20971982188679,0
41,1,1,10,267000,0.630434782608696,1,-1.13284303119776,1.908,-0.742222087026301,3,-1.07302566746792,8,0.206484040339026,0,-1.13284303119776,0,0.630434782608696,0.281842805413184,1
41,1,1,11,3000000,0.583333333333333,2,0.809173593712687,2.858,0.0210227074983091,5,-0.292643363854888,7,-0.412968080678053,1,0.809173593712687,1,0.583333333333333,-0.0342335064930307,1
41,1,1,12,2500000,0.847826086956522,2,0.809173593712687,1.393,-1.15598110721596,9,1.26812124337118,9,0.825936161356105,1,0.809173593712687,1,0.847826086956522,1.74065655267263,1
42,1,1,1,1,0.6875,2,1.55699788832305,4.708,0.120480674618033,6,0.256986900543418,4,-1.27463440824923,0,-0.583874208121142,0,0.3125,-0.706080564140558,0
42,1,1,2,1,0.604166666666667,2,1.55699788832305,2.573,-1.30567287548505,7,0.873755461847621,8,1.16379663361887,0,-0.583874208121142,0,0.604166666666667,1.04496038981438,1
42,1,1,3,311,0.541666666666667,1,-0.583874208121142,6.27,1.16387732345223,5,-0.359781660760785,7,0.554188873151841,1,1.55699788832305,1,0.458333333333333,0.169439912836909,0
42,1,1,4,534,0.6875,1,-0.583874208121142,4.035,-0.3290749877798,4,-0.976550222064988,6,-0.055418887315184,1,1.55699788832305,1,0.6875,1.54525780523007,1
42,1,1,5,2670,0.608695652173913,1,-0.583874208121142,3.301,-0.819377894466293,4,-0.976550222064988,5,-0.665026647782209,1,1.55699788832305,1,0.391304347826087,-0.232973225649628,0
42,1,1,6,5340,0.617021276595745,2,1.55699788832305,4.109,-0.279643904544377,2,-2.21008734467339,3,-1.88424216871626,0,-0.583874208121142,0,0.382978723404255,-0.282956686209198,0
42,1,1,7,17800,0.520833333333333,1,-0.583874208121142,7.27,1.83186493474173,7,0.873755461847621,6,-0.055418887315184,0,-0.583874208121142,0,0.479166666666667,0.294514266690834,0
42,1,1,8,26700,0.775510204081633,1,-0.583874208121142,3.225,-0.870144952924295,6,0.256986900543418,6,-0.055418887315184,0,-0.583874208121142,0,0.224489795918367,-1.23445589572754,0
42,1,1,9,178000,0.591836734693878,1,-0.583874208121142,3.244,-0.857453188309794,6,0.256986900543418,8,1.16379663361887,0,-0.583874208121142,0,0.408163265306122,-0.131759551546009,0
42,1,1,10,267000,0.630434782608696,1,-0.583874208121142,6.129,1.06969107026041,6,0.256986900543418,6,-0.055418887315184,0,-0.583874208121142,0,0.630434782608696,1.20266283597802,1
42,1,1,12,2500000,0.847826086956522,1,-0.583874208121142,4.94,0.275453800437197,8,1.49052402315182,8,1.16379663361887,0,-0.583874208121142,0,0.152173913043478,-1.66860928727728,0
